customer_id,first_name,last_name,email,gender,date_of_birth,signup_date,region,customer_segment,name
000c1337-f9ce-43f1-aa8a-16ab3bf8be7f,Thomas,Ford,qallen@gmail.com,Female,1962-04-17,2025-01-14,North,Platinum,Thomas Ford
000d8d48-2fce-416b-815a-5c0d997e87cd,Daniel,Gutierrez,ahawkins@hotmail.com,Other,1960-09-15,2025-03-29,North,Gold,Daniel Gutierrez
000f8432-1236-4c8e-af82-80b824ebacd9,Autumn,Green,christophermurphy@campbell-compton.com,Male,1989-10-06,2024-09-10,North,Platinum,Autumn Green
00106ca3-a9a1-46dd-9e72-aca650c0e74f,Nancy,Cohen,jaclyn38@marshall.net,Male,1987-12-07,2025-06-17,East,Gold,Nancy Cohen
001cba4f-1b0c-4951-983c-338abb7fedf0,David,Fisher,bradleywalker@morton.biz,Other,1983-03-17,2023-11-05,South,Silver,David Fisher
0026790e-b9e8-42a9-82fa-b33baf41fe01,Brian,Nielsen,robert53@mullins.com,Female,1967-11-24,2025-01-21,East,Platinum,Brian Nielsen
00284ecb-7d97-4840-9dc5-efcc6895ff85,Jessica,Gonzalez,jmarks@gmail.com,Other,1954-09-16,2025-05-11,West,Silver,Jessica Gonzalez
002e8ab9-d7e3-4e0e-a525-7a0dd540e01b,Heather,Garza,joshua39@gmail.com,Female,1961-12-29,2024-04-24,North,Silver,Heather Garza
0031c1e6-66a9-4f34-a0e8-7b4c924fa05d,David,Anderson,pamelaford@anderson-oneal.biz,Female,2004-05-25,2022-09-15,West,Silver,David Anderson
00341d4c-4739-4285-9e5d-5627fefd2f4e,Justin,Wilson,robinsonmelissa@yahoo.com,Female,1986-03-28,2025-02-10,West,Gold,Justin Wilson
0036f9ad-efe2-46dc-b606-bba00bf47ecb,Jeanne,Mendez,garywilliams@huber.com,Female,1960-01-13,2024-06-02,West,Platinum,Jeanne Mendez
0039c7d8-457c-4dee-b2de-38ad23a54b9f,Kristin,Horn,brittneyreed@hotmail.com,Male,1979-07-03,2023-06-24,East,Silver,Kristin Horn
003d9e56-319f-41f5-8d6b-cde8bb1edd21,Rachel,Jenkins,brettbarber@gmail.com,Other,1957-11-08,2022-10-06,West,Gold,Rachel Jenkins
004f52fe-00e3-4d6b-8605-300f9dd07762,Jonathan,Brown,qtorres@lambert-henderson.com,Other,1985-11-09,2024-10-05,South,Platinum,Jonathan Brown
0057112b-4414-4f8e-af2d-998b856489ed,Tiffany,Martinez,carolyn25@gmail.com,Other,1968-02-02,2023-03-14,South,Gold,Tiffany Martinez
005a27d6-9208-4f63-a665-b2dbc595a2ff,Virginia,King,goldenjimmy@bradford.biz,Female,1966-05-20,2024-10-09,East,Platinum,Virginia King
005dc440-be6c-4225-8eb4-cbf64d0ac5e4,Brian,Sullivan,perryapril@thompson.org,Female,1959-06-01,2023-08-10,West,Gold,Brian Sullivan
005e5663-e186-4612-ad18-edccf4abeb8e,Evan,Chambers,jeremytravis@adams.net,Female,1968-07-21,2023-09-18,West,Platinum,Evan Chambers
0061795c-0cc2-4340-866e-755aa00555fb,Misty,Bright,ericsmith@gmail.com,Female,2003-08-01,2023-12-08,West,Gold,Misty Bright
0061a414-3fea-40dd-9bf7-e35e8eac931f,Tonya,Wells,zreeves@brown-rhodes.biz,Female,1960-06-20,2025-08-06,West,Gold,Tonya Wells
006cf236-8150-457a-815b-0017d356d868,Amanda,Ortiz,newtonrobert@hotmail.com,Female,1960-11-06,2024-12-21,East,Silver,Amanda Ortiz
006f3db4-5fd6-4ee6-a4fa-462e8b73263b,Edgar,Brewer,carterkeith@miller.org,Other,1992-09-14,2024-10-13,North,Gold,Edgar Brewer
00835cd8-4900-4450-ae24-dcb64d091f29,Haley,Lee,baileyjoshua@hotmail.com,Female,1993-03-02,2022-11-01,East,Silver,Haley Lee
